employee_id,first_name,last_name,department,cost_center,salary_account,role,salary,hire_date,is_active,created_at,manager_id
11581bee-1622-4b90-8318-76d653410679,Amanda,Terrell,Engineering,COGS,5300,Software Engineer,87900.0,2020-05-10,True,2021-01-01,7db54b0f-c848-4818-8bca-6a4b440fe3d6
173afd31-af8c-4bf4-8b0b-9219fad7f213,Benjamin,Hughes,Engineering,COGS,5300,Senior Engineer,86400.0,2020-02-20,True,2021-01-01,7db54b0f-c848-4818-8bca-6a4b440fe3d6
82d71f43-697e-4163-af55-a610ec7825ec,Kathy,Estes,Engineering,COGS,5300,Tech Lead,121000.0,2020-12-30,True,2021-01-01,7db54b0f-c848-4818-8bca-6a4b440fe3d6
42d9eb0b-97a3-476e-bace-d6d830f594a4,James,Gonzales,Engineering,COGS,5300,Staff Engineer,80900.0,2019-06-10,True,2021-01-01,7db54b0f-c848-4818-8bca-6a4b440fe3d6
05a4ca90-34d9-402f-af0f-ff0595c2383d,Nicole,Ayala,Engineering,COGS,5300,Engineering Manager,111500.0,2022-06-11,True,2021-01-01,7db54b0f-c848-4818-8bca-6a4b440fe3d6
4d1037cf-4651-4297-819d-84c2959f3738,Justin,Jackson,Engineering,COGS,5300,,122100.0,2019-03-28,True,2021-01-01,7db54b0f-c848-4818-8bca-6a4b440fe3d6
89749565-19f3-4541-b9e6-c26eeb636619,Kelly,Ellison,Engineering,COGS,5300,Senior Engineer,95400.0,2020-10-07,True,2021-01-01,7db54b0f-c848-4818-8bca-6a4b440fe3d6
12921ef8-258d-4bc9-9ec3-e958c3ce1d1f,Hannah,Mckee,Engineering,COGS,5300,Tech Lead,129200.0,2022-03-22,True,2021-01-01,7db54b0f-c848-4818-8bca-6a4b440fe3d6
3ed9cf12-bb81-4f16-bc72-3410d2dabb3e,Steven,Lucas,Engineering,COGS,5300,Staff Engineer,102000.0,2023-04-15,True,2021-01-01,7db54b0f-c848-4818-8bca-6a4b440fe3d6
ea1d367b-45ab-4f48-92b4-b932d42f0e71,Christopher,Mason,Engineering,OPEX,6000,Engineering Manager,90400.0,2020-03-30,True,2021-01-01,7db54b0f-c848-4818-8bca-6a4b440fe3d6
9f0a8148-843b-4ea5-90d5-e467aff65209,Hector,Richards,Engineering,OPEX,6000,Software Engineer,82100.0,2021-12-12,True,2021-01-01,7db54b0f-c848-4818-8bca-6a4b440fe3d6
dbcf3d55-fe36-4ac3-827a-556cbd62808b,Patricia,Payne,Engineering,OPEX,6000,Senior Engineer,101300.0,2022-01-12,True,2021-01-01,7db54b0f-c848-4818-8bca-6a4b440fe3d6
868978a6-59e7-4a0e-95dd-1356742d2310,Phillip,Morris,Engineering,OPEX,6000,Tech Lead,94100.0,2022-11-06,True,2021-01-01,7db54b0f-c848-4818-8bca-6a4b440fe3d6
587117b8-27b1-4912-a3f0-5fa99bc5d7ac,Angel,Chavez,Engineering,OPEX,6000,Staff Engineer,100100.0,2019-09-04,True,2021-01-01,7db54b0f-c848-4818-8bca-6a4b440fe3d6
1a1a8d54-5e2a-4880-b51a-a6a84944efd3,Peggy,Huang,Engineering,OPEX,6000,Engineering Manager,100300.0,2022-11-12,True,2021-01-01,7db54b0f-c848-4818-8bca-6a4b440fe3d6
5b5f8503-2dad-400a-a101-5cfa406454d9,Nicole,Davis,Engineering,OPEX,6000,,112100.0,2021-02-16,True,2021-01-01,7db54b0f-c848-4818-8bca-6a4b440fe3d6
